pc_sector,treatment_function,total_new_adms,total_followup_adms
TR5 0,254_paediatric_audiological_medicine,10,26
TR16 4,254_paediatric_audiological_medicine,20,6
TR20 8,254_paediatric_audiological_medicine,24,7
TR2 5,251_paediatric_gastroenterology,20,10
TR20 9,251_paediatric_gastroenterology,13,25
TR8 4,254_paediatric_audiological_medicine,5,10
PL15 7,255_paediatric_clinical_immunology_and_allergy,6,15
TR20 9,254_paediatric_audiological_medicine,16,14
TR26 3,254_paediatric_audiological_medicine,11,24
PL22 0,211_paediatric_urology,23,23
PL25 3,211_paediatric_urology,1,28
TR27 5,251_paediatric_gastroenterology,0,24
TR5 0,251_paediatric_gastroenterology,23,18
TR16 6,251_paediatric_gastroenterology,1,9
TR17 0,251_paediatric_gastroenterology,8,11
TR16 4,255_paediatric_clinical_immunology_and_allergy,13,1
TR18 5,255_paediatric_clinical_immunology_and_allergy,24,13
TR27 6,254_paediatric_audiological_medicine,3,12
PL22 0,255_paediatric_clinical_immunology_and_allergy,25,8
PL26 6,211_paediatric_urology,27,7
PL27 6,211_paediatric_urology,2,1
TR4 9,251_paediatric_gastroenterology,12,5
TR7 2,251_paediatric_gastroenterology,12,15
TR26 2,255_paediatric_clinical_immunology_and_allergy,27,28
TR27 6,255_paediatric_clinical_immunology_and_allergy,24,20
PL15 8,255_paediatric_clinical_immunology_and_allergy,28,12
PL23 1,255_paediatric_clinical_immunology_and_allergy,1,26
EX23 0,252_paediatric_endocrinology,1,28
PL25 4,252_paediatric_endocrinology,7,9
TR4 8,255_paediatric_clinical_immunology_and_allergy,4,17
TR7 1,255_paediatric_clinical_immunology_and_allergy,16,13
PL25 3,255_paediatric_clinical_immunology_and_allergy,12,21
PL31 1,255_paediatric_clinical_immunology_and_allergy,22,15
PL31 2,252_paediatric_endocrinology,1,19
TR11 2,252_paediatric_endocrinology,4,7
PL26 8,258_paediatric_respiratory_medicine,1,6
PL29 3,258_paediatric_respiratory_medicine,12,24
TR15 1,255_paediatric_clinical_immunology_and_allergy,13,19
TR15 3,255_paediatric_clinical_immunology_and_allergy,10,7
TR11 3,252_paediatric_endocrinology,26,5
TR12 6,252_paediatric_endocrinology,15,6
TR12 7,258_paediatric_respiratory_medicine,7,9
TR19 7,258_paediatric_respiratory_medicine,3,6
PL24 2,255_paediatric_clinical_immunology_and_allergy,21,12
PL26 6,255_paediatric_clinical_immunology_and_allergy,13,9
PL31 2,211_paediatric_urology,0,11
TR11 4,211_paediatric_urology,1,8
TR6 0,251_paediatric_gastroenterology,0,22
PL28 8,252_paediatric_endocrinology,26,26
TR19 7,252_paediatric_endocrinology,0,27
TR26 2,252_paediatric_endocrinology,26,7
TR20 8,258_paediatric_respiratory_medicine,21,10
TR20 9,258_paediatric_respiratory_medicine,12,6
PL28 8,255_paediatric_clinical_immunology_and_allergy,28,4
PL30 4,255_paediatric_clinical_immunology_and_allergy,18,27
TR18 2,211_paediatric_urology,21,1
TR19 6,211_paediatric_urology,26,7
TR8 5,255_paediatric_clinical_immunology_and_allergy,26,5
PL27 7,258_paediatric_respiratory_medicine,22,8
PL26 6,253_paediatric_clinical_haematology,8,11
PL30 5,253_paediatric_clinical_haematology,7,6
TR1 1,252_paediatric_endocrinology,24,18
TR13 0,252_paediatric_endocrinology,18,27
TR11 4,255_paediatric_clinical_immunology_and_allergy,29,3
TR13 0,255_paediatric_clinical_immunology_and_allergy,6,23
TR2 4,211_paediatric_urology,9,15
TR20 8,211_paediatric_urology,20,26
TR2 4,255_paediatric_clinical_immunology_and_allergy,12,12
TR24 0,255_paediatric_clinical_immunology_and_allergy,5,21
PL32 9,253_paediatric_clinical_haematology,7,21
TR12 7,253_paediatric_clinical_haematology,18,16
TR16 5,252_paediatric_endocrinology,3,18
TR7 2,252_paediatric_endocrinology,29,12
TR20 9,253_paediatric_clinical_haematology,8,15
TR27 6,253_paediatric_clinical_haematology,2,20
TR7 3,255_paediatric_clinical_immunology_and_allergy,21,3
TR9 6,255_paediatric_clinical_immunology_and_allergy,24,28
TR26 3,258_paediatric_respiratory_medicine,21,24
TR27 5,258_paediatric_respiratory_medicine,10,27
TR3 6,253_paediatric_clinical_haematology,30,2
TR5 0,253_paediatric_clinical_haematology,6,23
PL25 5,253_paediatric_clinical_haematology,21,6
PL31 1,253_paediatric_clinical_haematology,22,10
TR20 9,211_paediatric_urology,25,15
TR27 5,211_paediatric_urology,24,4
TR3 7,258_paediatric_respiratory_medicine,2,18
TR8 4,258_paediatric_respiratory_medicine,4,16
TR1 1,258_paediatric_respiratory_medicine,3,5
TR10 8,258_paediatric_respiratory_medicine,4,20
PL11 3,251_paediatric_gastroenterology,23,16
PL26 8,251_paediatric_gastroenterology,16,12
PL25 3,259_paediatric_nephrology,24,5
TR15 3,259_paediatric_nephrology,15,0
TR13 8,258_paediatric_respiratory_medicine,21,21
TR14 8,258_paediatric_respiratory_medicine,12,7
TR1 3,253_paediatric_clinical_haematology,19,4
TR10 8,253_paediatric_clinical_haematology,11,6
TR12 7,251_paediatric_gastroenterology,29,9
TR19 7,251_paediatric_gastroenterology,1,10
TR16 6,259_paediatric_nephrology,17,4
TR27 4,259_paediatric_nephrology,9,20
TR14 9,258_paediatric_respiratory_medicine,5,7
TR15 2,258_paediatric_respiratory_medicine,29,0
TR10 9,258_paediatric_respiratory_medicine,28,2
TR15 3,258_paediatric_respiratory_medicine,27,9
TR13 8,253_paediatric_clinical_haematology,29,8
TR14 8,253_paediatric_clinical_haematology,4,6
TR2 5,258_paediatric_respiratory_medicine,17,3
TR21 0,258_paediatric_respiratory_medicine,14,16
TR15 1,259_paediatric_nephrology,15,22
TR7 1,259_paediatric_nephrology,9,6
TR8 5,259_paediatric_nephrology,19,30
PL26 7,260_paediatric_medical_oncology,21,5
TR3 7,251_paediatric_gastroenterology,12,9
TR8 4,251_paediatric_gastroenterology,2,21
TR26 1,258_paediatric_respiratory_medicine,3,0
TR27 4,258_paediatric_respiratory_medicine,28,21
TR7 3,253_paediatric_clinical_haematology,16,23
TR9 6,253_paediatric_clinical_haematology,13,1
PL26 7,252_paediatric_endocrinology,29,16
PL30 4,252_paediatric_endocrinology,19,6
TR15 2,253_paediatric_clinical_haematology,12,17
TR6 0,253_paediatric_clinical_haematology,8,14
TR4 9,259_paediatric_nephrology,23,0
TR9 6,259_paediatric_nephrology,16,29
TR8 5,258_paediatric_respiratory_medicine,20,3
PL25 5,259_paediatric_nephrology,20,23
EX22 7,254_paediatric_audiological_medicine,29,10
PL11 2,254_paediatric_audiological_medicine,21,3
PL31 1,260_paediatric_medical_oncology,24,5
TR10 9,260_paediatric_medical_oncology,18,7
PL15 8,254_paediatric_audiological_medicine,10,29
PL22 0,254_paediatric_audiological_medicine,24,14
PL33 9,260_paediatric_medical_oncology,12,7
TR18 3,260_paediatric_medical_oncology,1,22
TR13 8,260_paediatric_medical_oncology,12,6
TR14 8,260_paediatric_medical_oncology,10,24
PL23 1,254_paediatric_audiological_medicine,2,20
PL25 3,254_paediatric_audiological_medicine,5,29
PL15 8,262_paediatric_rheumatology,7,2
PL26 6,262_paediatric_rheumatology,0,24
PL26 8,259_paediatric_nephrology,23,10
PL32 9,259_paediatric_nephrology,22,28
PL12 6,254_paediatric_audiological_medicine,8,24
PL15 7,254_paediatric_audiological_medicine,5,10
PL31 1,252_paediatric_endocrinology,14,28
TR11 5,252_paediatric_endocrinology,13,22
TR14 9,260_paediatric_medical_oncology,26,13
TR15 2,260_paediatric_medical_oncology,22,22
TR11 5,262_paediatric_rheumatology,18,6
TR13 0,262_paediatric_rheumatology,21,11
TR11 2,259_paediatric_nephrology,6,8
TR3 7,259_paediatric_nephrology,21,15
PL13 2,261_paediatric_metabolic_disease,30,27
PL28 8,261_paediatric_metabolic_disease,25,12
TR15 3,252_paediatric_endocrinology,19,3
TR16 6,252_paediatric_endocrinology,4,14
TR4 8,259_paediatric_nephrology,15,3
PL25 5,260_paediatric_medical_oncology,20,9
PL31 1,261_paediatric_metabolic_disease,1,7
TR11 5,261_paediatric_metabolic_disease,13,25
TR4 8,253_paediatric_clinical_haematology,8,25
TR7 1,253_paediatric_clinical_haematology,26,4
PL15 9,254_paediatric_audiological_medicine,11,11
PL17 7,254_paediatric_audiological_medicine,16,13
PL26 6,254_paediatric_audiological_medicine,28,30
PL27 6,254_paediatric_audiological_medicine,15,25
PL26 8,260_paediatric_medical_oncology,29,20
TR11 2,260_paediatric_medical_oncology,11,17
TR16 6,262_paediatric_rheumatology,24,28
TR4 9,262_paediatric_rheumatology,20,16
PL27 7,254_paediatric_audiological_medicine,3,26
PL30 3,254_paediatric_audiological_medicine,21,19
TR7 3,262_paediatric_rheumatology,15,3
TR9 6,262_paediatric_rheumatology,26,19
PL25 3,262_paediatric_rheumatology,16,20
TR1 1,262_paediatric_rheumatology,30,19
TR16 6,254_paediatric_audiological_medicine,10,10
TR17 0,254_paediatric_audiological_medicine,1,6
PL30 4,254_paediatric_audiological_medicine,0,2
PL31 1,254_paediatric_audiological_medicine,29,29
PL26 7,263_paediatric_diabetic_medicine,2,15
TR10 8,263_paediatric_diabetic_medicine,25,9
PL25 4,254_paediatric_audiological_medicine,26,17
PL33 9,254_paediatric_audiological_medicine,3,3
TR10 9,263_paediatric_diabetic_medicine,19,11
TR13 8,263_paediatric_diabetic_medicine,26,4
TR15 3,262_paediatric_rheumatology,4,29
TR8 5,262_paediatric_rheumatology,19,28
TR21 0,254_paediatric_audiological_medicine,30,24
TR4 9,254_paediatric_audiological_medicine,19,25
TR14 8,263_paediatric_diabetic_medicine,13,16
TR15 2,263_paediatric_diabetic_medicine,0,4
TR11 2,254_paediatric_audiological_medicine,11,27
TR11 3,254_paediatric_audiological_medicine,14,29
TR11 4,254_paediatric_audiological_medicine,14,7
TR18 2,254_paediatric_audiological_medicine,29,21
PL27 7,263_paediatric_diabetic_medicine,28,30
PL30 4,263_paediatric_diabetic_medicine,22,19
TR12 6,254_paediatric_audiological_medicine,13,16
TR14 0,254_paediatric_audiological_medicine,26,4
TR18 3,254_paediatric_audiological_medicine,5,17
TR18 4,254_paediatric_audiological_medicine,0,26
TR12 6,260_paediatric_medical_oncology,19,16
TR20 8,260_paediatric_medical_oncology,10,3
TR7 2,254_paediatric_audiological_medicine,16,21
PL13 2,255_paediatric_clinical_immunology_and_allergy,22,28
TR19 6,254_paediatric_audiological_medicine,29,5
TR2 4,254_paediatric_audiological_medicine,21,22
TR23 0,263_paediatric_diabetic_medicine,6,30
TR6 0,263_paediatric_diabetic_medicine,20,6
PL26 8,255_paediatric_clinical_immunology_and_allergy,13,18
TR1 3,255_paediatric_clinical_immunology_and_allergy,0,4
TR20 9,260_paediatric_medical_oncology,16,29
TR26 3,260_paediatric_medical_oncology,4,23
PL17 8,290_community_paediatrics,26,23
PL27 7,290_community_paediatrics,1,15
TR14 7,254_paediatric_audiological_medicine,30,1
TR26 2,254_paediatric_audiological_medicine,20,20
TR27 6,260_paediatric_medical_oncology,17,17
TR4 8,260_paediatric_medical_oncology,21,20
TR11 2,255_paediatric_clinical_immunology_and_allergy,30,18
TR19 7,255_paediatric_clinical_immunology_and_allergy,0,20
TR27 4,254_paediatric_audiological_medicine,1,29
PL14 5,255_paediatric_clinical_immunology_and_allergy,5,19
TR15 3,290_community_paediatrics,12,15
TR16 6,290_community_paediatrics,6,1
TR3 6,254_paediatric_audiological_medicine,1,6
TR4 8,254_paediatric_audiological_medicine,0,14
TR26 1,255_paediatric_clinical_immunology_and_allergy,3,11
TR27 4,255_paediatric_clinical_immunology_and_allergy,19,21
TR8 4,260_paediatric_medical_oncology,10,27
PL13 2,262_paediatric_rheumatology,17,23
PL26 7,255_paediatric_clinical_immunology_and_allergy,18,19
TR1 1,255_paediatric_clinical_immunology_and_allergy,10,21
TR6 0,255_paediatric_clinical_immunology_and_allergy,9,4
TR8 4,255_paediatric_clinical_immunology_and_allergy,17,5
PL27 7,262_paediatric_rheumatology,26,21
PL31 2,262_paediatric_rheumatology,6,25
TR10 8,255_paediatric_clinical_immunology_and_allergy,6,25
TR10 9,255_paediatric_clinical_immunology_and_allergy,29,10
PL22 0,258_paediatric_respiratory_medicine,0,14
PL24 2,258_paediatric_respiratory_medicine,27,5
PL27 7,255_paediatric_clinical_immunology_and_allergy,19,26
PL30 5,255_paediatric_clinical_immunology_and_allergy,14,6
PL33 9,263_paediatric_diabetic_medicine,30,5
TR1 1,263_paediatric_diabetic_medicine,1,1
TR13 8,255_paediatric_clinical_immunology_and_allergy,15,20
TR14 8,255_paediatric_clinical_immunology_and_allergy,29,8
PL26 6,258_paediatric_respiratory_medicine,13,12
PL28 8,258_paediatric_respiratory_medicine,22,30
TR15 2,255_paediatric_clinical_immunology_and_allergy,0,25
TR2 5,255_paediatric_clinical_immunology_and_allergy,6,5
PL32 9,255_paediatric_clinical_immunology_and_allergy,9,29
PL34 0,255_paediatric_clinical_immunology_and_allergy,15,5
TR1 2,262_paediatric_rheumatology,13,28
TR13 9,262_paediatric_rheumatology,8,18
TR14 9,263_paediatric_diabetic_medicine,29,27
EX23 8,290_community_paediatrics,15,15
TR27 4,290_community_paediatrics,3,26
TR4 9,290_community_paediatrics,9,27
EX23 9,290_community_paediatrics,13,27
PL10 1,290_community_paediatrics,14,8
TR21 0,255_paediatric_clinical_immunology_and_allergy,29,24
EX23 8,258_paediatric_respiratory_medicine,16,30
PL32 9,258_paediatric_respiratory_medicine,16,26
PL35 0,258_paediatric_respiratory_medicine,10,0
PL11 3,290_community_paediatrics,4,21
PL12 4,290_community_paediatrics,0,2
PL30 4,258_paediatric_respiratory_medicine,25,7
TR11 3,258_paediatric_respiratory_medicine,5,22
TR5 0,290_community_paediatrics,28,19
TR8 5,290_community_paediatrics,17,21
TR14 0,262_paediatric_rheumatology,0,23
TR14 7,262_paediatric_rheumatology,25,0
TR1 3,258_paediatric_respiratory_medicine,5,4
TR11 4,258_paediatric_respiratory_medicine,25,14
TR14 9,255_paediatric_clinical_immunology_and_allergy,17,18
TR20 8,255_paediatric_clinical_immunology_and_allergy,3,21
TR18 5,262_paediatric_rheumatology,8,13
TR26 2,262_paediatric_rheumatology,16,26
TR20 9,255_paediatric_clinical_immunology_and_allergy,4,19
TR26 3,255_paediatric_clinical_immunology_and_allergy,12,9
PL18 9,290_community_paediatrics,18,10
PL26 8,290_community_paediatrics,29,8
TR27 5,262_paediatric_rheumatology,0,24
PL26 8,263_paediatric_diabetic_medicine,26,12
PL13 1,291_paediatrics_neurodisability,7,17
PL13 2,291_paediatrics_neurodisability,1,22
PL29 3,290_community_paediatrics,26,4
TR1 1,290_community_paediatrics,23,18
TR1 2,263_paediatric_diabetic_medicine,27,14
TR11 2,263_paediatric_diabetic_medicine,15,21
PL26 7,291_paediatrics_neurodisability,0,9
TR1 3,291_paediatrics_neurodisability,5,8
TR11 3,290_community_paediatrics,20,19
TR12 6,290_community_paediatrics,2,29
TR27 5,255_paediatric_clinical_immunology_and_allergy,1,14
TR3 7,255_paediatric_clinical_immunology_and_allergy,1,30
TR13 9,258_paediatric_respiratory_medicine,10,7
TR15 1,258_paediatric_respiratory_medicine,26,7
TR13 9,290_community_paediatrics,11,21
TR15 1,290_community_paediatrics,30,6
TR19 7,263_paediatric_diabetic_medicine,13,22
TR2 5,263_paediatric_diabetic_medicine,1,16
TR10 8,291_paediatrics_neurodisability,22,3
TR10 9,291_paediatrics_neurodisability,15,24
TR16 4,290_community_paediatrics,23,9
TR18 5,290_community_paediatrics,25,23
TR21 0,263_paediatric_diabetic_medicine,9,11
TR8 4,263_paediatric_diabetic_medicine,16,4
PL15 7,258_paediatric_respiratory_medicine,18,10
PL15 8,258_paediatric_respiratory_medicine,4,26
TR16 4,258_paediatric_respiratory_medicine,25,12
TR18 5,258_paediatric_respiratory_medicine,20,16
TR13 0,258_paediatric_respiratory_medicine,19,9
TR2 4,258_paediatric_respiratory_medicine,21,0
TR21 0,290_community_paediatrics,15,14
TR4 8,290_community_paediatrics,7,9
TR27 6,258_paediatric_respiratory_medicine,23,10
TR6 0,258_paediatric_respiratory_medicine,26,27
PL11 2,290_community_paediatrics,14,6
PL12 5,290_community_paediatrics,8,11
TR7 3,258_paediatric_respiratory_medicine,5,14
TR9 6,258_paediatric_respiratory_medicine,2,0
TR7 1,290_community_paediatrics,21,4
PL27 7,291_paediatrics_neurodisability,30,12
PL15 7,290_community_paediatrics,10,6
PL15 8,290_community_paediatrics,19,25
PL13 2,259_paediatric_nephrology,14,25
PL24 2,259_paediatric_nephrology,28,5
PL30 4,291_paediatrics_neurodisability,7,18
PL33 9,291_paediatrics_neurodisability,24,5
TR13 8,291_paediatrics_neurodisability,20,16
TR14 8,291_paediatrics_neurodisability,8,13
TR14 9,291_paediatrics_neurodisability,25,14
TR3 7,291_paediatrics_neurodisability,26,8
PL26 7,300_general_medicine,21,20
PL30 4,300_general_medicine,15,3
PL31 1,300_general_medicine,17,23
TR11 5,300_general_medicine,4,5
PL25 5,258_paediatric_respiratory_medicine,28,26
PL30 3,258_paediatric_respiratory_medicine,6,29
PL15 9,290_community_paediatrics,25,16
PL17 7,290_community_paediatrics,20,29
TR1 3,259_paediatric_nephrology,3,2
TR13 0,259_paediatric_nephrology,9,22
TR4 8,258_paediatric_respiratory_medicine,20,30
TR7 1,258_paediatric_respiratory_medicine,24,1
TR15 2,291_paediatrics_neurodisability,25,17
TR2 5,291_paediatrics_neurodisability,22,15
TR15 3,300_general_medicine,10,11
PL10 1,301_gastroenterology,5,21
PL22 0,290_community_paediatrics,21,27
PL24 2,290_community_paediatrics,23,30
TR2 4,259_paediatric_nephrology,21,15
PL30 5,260_paediatric_medical_oncology,17,17
PL11 3,301_gastroenterology,17,15
TR11 2,301_gastroenterology,14,7
TR26 1,291_paediatrics_neurodisability,18,8
TR6 0,291_paediatrics_neurodisability,7,17
PL31 1,258_paediatric_respiratory_medicine,15,15
TR11 2,258_paediatric_respiratory_medicine,6,2
TR14 7,301_gastroenterology,11,25
TR19 6,301_gastroenterology,17,5
TR1 3,260_paediatric_medical_oncology,6,29
TR11 4,260_paediatric_medical_oncology,8,24
PL26 7,259_paediatric_nephrology,15,28
PL27 7,259_paediatric_nephrology,30,6
TR2 4,260_paediatric_medical_oncology,20,24
PL12 5,261_paediatric_metabolic_disease,3,4
TR25 0,301_gastroenterology,23,2
TR26 1,301_gastroenterology,22,22
PL28 8,300_general_medicine,28,26
PL33 9,300_general_medicine,7,26
TR14 8,261_paediatric_metabolic_disease,12,7
TR15 2,261_paediatric_metabolic_disease,8,18
TR10 8,259_paediatric_nephrology,22,20
TR13 8,259_paediatric_nephrology,19,23
TR3 6,301_gastroenterology,10,30
TR6 0,301_gastroenterology,23,13
PL26 6,290_community_paediatrics,12,5
PL28 8,290_community_paediatrics,29,10
TR14 8,259_paediatric_nephrology,26,4
TR1 1,260_paediatric_medical_oncology,22,12
PL25 4,262_paediatric_rheumatology,4,19
TR16 5,262_paediatric_rheumatology,9,5
TR1 1,300_general_medicine,16,23
TR7 2,300_general_medicine,19,23
TR13 9,260_paediatric_medical_oncology,13,13
TR7 1,260_paediatric_medical_oncology,2,3
PL30 3,290_community_paediatrics,30,30
PL31 1,290_community_paediatrics,27,10
TR14 0,258_paediatric_respiratory_medicine,6,7
TR14 7,258_paediatric_respiratory_medicine,23,13
TR8 5,260_paediatric_medical_oncology,23,5
PL14 6,261_paediatric_metabolic_disease,10,8
TR3 6,262_paediatric_rheumatology,28,7
PL22 0,263_paediatric_diabetic_medicine,19,4
EX22 6,301_gastroenterology,25,26
PL11 2,301_gastroenterology,20,28
EX23 9,302_endocrinology,24,26
PL11 2,302_endocrinology,28,16
PL25 3,261_paediatric_metabolic_disease,22,12
PL26 6,261_paediatric_metabolic_disease,17,4
PL24 2,263_paediatric_diabetic_medicine,13,21
PL26 6,263_paediatric_diabetic_medicine,1,0
TR19 6,258_paediatric_respiratory_medicine,5,27
TR3 6,258_paediatric_respiratory_medicine,30,17
PL28 8,263_paediatric_diabetic_medicine,12,13
PL30 5,263_paediatric_diabetic_medicine,28,19
PL12 4,301_gastroenterology,14,22
PL12 5,301_gastroenterology,20,22
TR1 2,261_paediatric_metabolic_disease,29,8
TR20 8,261_paediatric_metabolic_disease,5,1
TR12 7,290_community_paediatrics,2,22
TR14 0,290_community_paediatrics,25,9
TR7 2,259_paediatric_nephrology,2,15
PL25 3,260_paediatric_medical_oncology,30,26
PL12 6,302_endocrinology,28,8
PL14 5,302_endocrinology,12,3
PL14 5,301_gastroenterology,10,3
PL18 9,301_gastroenterology,8,20
PL26 6,260_paediatric_medical_oncology,22,28
PL27 6,260_paediatric_medical_oncology,5,13
TR14 7,290_community_paediatrics,5,15
TR19 6,290_community_paediatrics,6,25
TR20 9,261_paediatric_metabolic_disease,14,12
TR4 9,261_paediatric_metabolic_disease,15,12
PL32 9,263_paediatric_diabetic_medicine,2,22
TR11 4,263_paediatric_diabetic_medicine,30,11
TR11 5,260_paediatric_medical_oncology,4,10
TR15 3,260_paediatric_medical_oncology,1,6
PL26 7,262_paediatric_rheumatology,16,22
PL30 3,262_paediatric_rheumatology,23,11
TR13 0,263_paediatric_diabetic_medicine,16,18
TR20 8,263_paediatric_diabetic_medicine,0,7
TR16 6,260_paediatric_medical_oncology,13,5
TR27 4,260_paediatric_medical_oncology,6,8
PL31 1,262_paediatric_rheumatology,29,22
TR10 8,262_paediatric_rheumatology,16,27
TR3 6,290_community_paediatrics,21,9
EX23 0,291_paediatrics_neurodisability,8,13
TR4 9,260_paediatric_medical_oncology,14,0
TR5 0,260_paediatric_medical_oncology,23,0
TR10 9,262_paediatric_rheumatology,20,21
TR13 8,262_paediatric_rheumatology,21,30
PL12 4,291_paediatrics_neurodisability,13,23
PL12 5,291_paediatrics_neurodisability,29,4
PL24 2,301_gastroenterology,21,8
PL28 8,301_gastroenterology,18,22
TR14 8,262_paediatric_rheumatology,17,14
TR15 2,262_paediatric_rheumatology,17,15
PL30 4,301_gastroenterology,13,23
PL33 9,301_gastroenterology,15,3
TR20 9,263_paediatric_diabetic_medicine,2,24
TR27 6,263_paediatric_diabetic_medicine,8,26
TR11 4,301_gastroenterology,30,27
TR17 0,301_gastroenterology,3,14
PL22 0,261_paediatric_metabolic_disease,22,12
TR12 6,261_paediatric_metabolic_disease,10,23
TR2 5,262_paediatric_rheumatology,3,12
PL15 8,263_paediatric_diabetic_medicine,16,2
PL23 1,302_endocrinology,11,6
PL25 3,302_endocrinology,24,11
TR14 7,261_paediatric_metabolic_disease,12,9
TR19 6,261_paediatric_metabolic_disease,11,3
TR18 2,301_gastroenterology,0,11
TR18 3,301_gastroenterology,20,5
PL25 5,263_paediatric_diabetic_medicine,28,24
TR12 6,263_paediatric_diabetic_medicine,19,8
TR5 0,263_paediatric_diabetic_medicine,3,2
TR7 3,263_paediatric_diabetic_medicine,27,23
TR14 0,263_paediatric_diabetic_medicine,23,17
TR16 4,263_paediatric_diabetic_medicine,22,8
TR18 4,301_gastroenterology,21,29
TR2 4,301_gastroenterology,0,14
PL24 2,262_paediatric_rheumatology,19,11
PL28 8,262_paediatric_rheumatology,8,21
TR18 5,263_paediatric_diabetic_medicine,22,17
TR4 8,263_paediatric_diabetic_medicine,19,4
TR9 6,263_paediatric_diabetic_medicine,2,20
EX23 0,290_community_paediatrics,20,25
PL30 4,262_paediatric_rheumatology,23,8
TR11 4,262_paediatric_rheumatology,5,1
TR7 1,263_paediatric_diabetic_medicine,7,28
PL25 5,290_community_paediatrics,23,24
PL30 3,302_endocrinology,14,30
PL31 1,302_endocrinology,19,10
PL15 7,291_paediatrics_neurodisability,13,26
PL15 8,291_paediatrics_neurodisability,15,8
TR7 2,301_gastroenterology,28,10
EX23 8,302_endocrinology,27,2
TR10 8,290_community_paediatrics,1,21
TR13 8,290_community_paediatrics,16,9
PL12 6,290_community_paediatrics,2,29
PL14 3,290_community_paediatrics,23,14
PL13 1,302_endocrinology,1,23
PL13 2,302_endocrinology,28,8
TR15 1,302_endocrinology,25,14
TR15 3,302_endocrinology,16,20
PL25 5,302_endocrinology,4,10
PL31 2,302_endocrinology,9,5
TR14 8,290_community_paediatrics,7,12
TR14 9,290_community_paediatrics,18,13
TR1 2,302_endocrinology,30,21
TR11 3,302_endocrinology,15,23
PL14 4,290_community_paediatrics,26,9
PL14 6,290_community_paediatrics,24,9
TR18 2,262_paediatric_rheumatology,21,7
TR18 3,262_paediatric_rheumatology,2,14
TR12 6,302_endocrinology,30,7
TR13 9,302_endocrinology,5,16
PL31 2,290_community_paediatrics,14,20
PL34 0,290_community_paediatrics,21,22
TR2 4,262_paediatric_rheumatology,3,12
TR7 2,262_paediatric_rheumatology,26,6
TR14 0,302_endocrinology,27,23
TR14 7,302_endocrinology,7,25
TR1 2,290_community_paediatrics,5,29
TR11 5,290_community_paediatrics,6,30
PL23 1,263_paediatric_diabetic_medicine,12,30
PL25 3,263_paediatric_diabetic_medicine,1,16
TR16 4,302_endocrinology,8,21
TR18 5,302_endocrinology,27,29
TR16 5,290_community_paediatrics,12,12
TR18 2,290_community_paediatrics,4,12
TR15 1,263_paediatric_diabetic_medicine,21,13
TR15 3,263_paediatric_diabetic_medicine,13,28
TR2 5,302_endocrinology,1,1
TR26 2,302_endocrinology,10,23
TR18 3,290_community_paediatrics,21,26
TR18 4,290_community_paediatrics,8,22
TR2 4,263_paediatric_diabetic_medicine,25,28
TR27 4,263_paediatric_diabetic_medicine,22,13
TR27 6,302_endocrinology,28,20
TR4 8,302_endocrinology,27,30
TR26 2,290_community_paediatrics,8,13
TR27 5,290_community_paediatrics,7,24
TR4 9,263_paediatric_diabetic_medicine,24,0
TR8 5,263_paediatric_diabetic_medicine,24,22
TR7 1,302_endocrinology,21,13
PL13 2,303_haematology_clinical,5,28
PL11 2,291_paediatrics_neurodisability,8,28
PL12 6,291_paediatrics_neurodisability,5,15
PL33 9,290_community_paediatrics,30,24
TR10 9,290_community_paediatrics,0,6
PL25 5,303_haematology_clinical,5,14
PL30 3,303_haematology_clinical,23,25
PL14 3,291_paediatrics_neurodisability,15,27
PL14 6,291_paediatrics_neurodisability,0,24
TR17 0,290_community_paediatrics,6,30
TR26 1,290_community_paediatrics,2,12
PL25 4,291_paediatrics_neurodisability,2,24
PL29 3,291_paediatrics_neurodisability,20,6
PL15 9,291_paediatrics_neurodisability,21,30
PL17 7,291_paediatrics_neurodisability,11,18
PL35 0,303_haematology_clinical,30,6
TR11 2,303_haematology_clinical,7,16
PL30 3,291_paediatrics_neurodisability,13,16
PL31 1,291_paediatrics_neurodisability,19,28
PL27 6,291_paediatrics_neurodisability,0,15
PL31 2,291_paediatrics_neurodisability,20,17
TR7 2,290_community_paediatrics,4,2
EX23 9,291_paediatrics_neurodisability,9,11
TR11 3,303_haematology_clinical,12,9
TR12 6,303_haematology_clinical,30,3
PL34 0,291_paediatrics_neurodisability,8,30
TR1 2,291_paediatrics_neurodisability,13,12
PL14 4,291_paediatrics_neurodisability,7,20
PL17 8,291_paediatrics_neurodisability,3,10
TR2 4,302_endocrinology,29,14
TR8 5,302_endocrinology,6,10
TR15 2,290_community_paediatrics,13,18
TR2 5,290_community_paediatrics,18,2
PL23 1,291_paediatrics_neurodisability,1,29
PL25 3,291_paediatrics_neurodisability,9,25
EX23 8,291_paediatrics_neurodisability,29,16
PL10 1,291_paediatrics_neurodisability,6,1
PL11 3,291_paediatrics_neurodisability,23,13
PL25 5,291_paediatrics_neurodisability,17,10
TR11 5,291_paediatrics_neurodisability,23,16
TR16 6,291_paediatrics_neurodisability,27,25
TR14 0,303_haematology_clinical,21,22
TR14 7,303_haematology_clinical,19,8
TR12 7,291_paediatrics_neurodisability,8,6
TR16 5,291_paediatrics_neurodisability,13,30
TR11 3,291_paediatrics_neurodisability,30,15
TR12 6,291_paediatrics_neurodisability,4,9
